Date,NIFTY_50,ALKEM
2021-02-26,2587.07275390625,14529.150390625
2021-03-01,2687.10400390625,14761.5498046875
2021-03-02,2770.122314453125,14919.099609375
2021-03-03,2701.169677734375,15245.599609375
2021-03-04,2689.33642578125,15080.75
2021-03-05,2645.3330078125,14938.099609375
2021-03-08,2647.518798828125,14956.2001953125
2021-03-09,2634.925537109375,15098.400390625
2021-03-10,2603.895263671875,15174.7998046875
2021-03-12,2635.971435546875,15030.9501953125
2021-03-15,2552.71484375,14929.5
2021-03-16,2525.722900390625,14910.4501953125
2021-03-17,2501.108154296875,14721.2998046875
2021-03-18,2499.159423828125,14557.849609375
2021-03-19,2494.692138671875,14744.0
2021-03-22,2490.60595703125,14736.400390625
2021-03-23,2468.698486328125,14814.75
2021-03-24,2447.12451171875,14549.400390625
2021-03-25,2509.424072265625,14324.900390625
2021-03-26,2518.642822265625,14507.2998046875
2021-03-30,2603.79931640625,14845.099609375
2021-03-31,2632.455078125,14690.7001953125
2021-04-01,2637.824462890625,14867.349609375
2021-04-05,2573.196533203125,14637.7998046875
2021-04-06,2587.8330078125,14683.5
2021-04-07,2591.824951171875,14819.0498046875
2021-04-08,2572.24609375,14873.7998046875
2021-04-09,2691.85546875,14834.849609375
2021-04-12,2609.4072265625,14310.7998046875
2021-04-13,2615.2998046875,14504.7998046875
2021-04-15,2614.064453125,14581.4501953125
2021-04-16,2652.413330078125,14617.849609375
2021-04-19,2612.781005859375,14359.4501953125
2021-04-20,2604.750244140625,14296.400390625
2021-04-22,2658.638916015625,14406.150390625
2021-04-23,2640.67578125,14341.349609375
2021-04-26,2659.1611328125,14485.0
2021-04-27,2632.26513671875,14653.0498046875
2021-04-28,2637.15966796875,14864.5498046875
2021-04-29,2624.75634765625,14894.900390625
2021-04-30,2622.238037109375,14631.099609375
2021-05-03,2625.0419921875,14634.150390625
2021-05-04,2659.8271484375,14496.5
2021-05-05,2750.923828125,14617.849609375
2021-05-06,2720.03564453125,14724.7998046875
2021-05-07,2763.279296875,14823.150390625
2021-05-10,2880.9404296875,14942.349609375
2021-05-11,2888.828857421875,14850.75
2021-05-12,2854.66162109375,14696.5
2021-05-14,2844.68212890625,14677.7998046875
2021-05-17,2831.99365234375,14923.150390625
2021-05-18,2803.19677734375,15108.099609375
2021-05-19,2826.00634765625,15030.150390625
2021-05-20,2842.068359375,14906.0498046875
2021-05-21,2854.56640625,15175.2998046875
2021-05-24,2847.58056640625,15197.7001953125
2021-05-25,2760.950439453125,15208.4501953125
2021-05-26,2790.033447265625,15301.4501953125
2021-05-27,2788.892333984375,15337.849609375
2021-05-28,2810.65771484375,15435.650390625
2021-05-31,2840.975341796875,15582.7998046875
2021-06-01,2947.944580078125,15574.849609375
2021-06-02,2999.314697265625,15576.2001953125
2021-06-03,3020.841064453125,15690.349609375
2021-06-04,3008.0107421875,15670.25
2021-06-07,2984.725341796875,15751.650390625
2021-06-08,3018.369873046875,15740.099609375
2021-06-09,2947.279296875,15635.349609375
2021-06-10,2975.981689453125,15737.75
2021-06-11,3038.709228515625,15799.349609375
2021-06-14,3063.6572265625,15811.849609375
2021-06-15,3027.921875,15869.25
2021-06-16,3025.92578125,15767.5498046875
2021-06-17,3010.244384765625,15691.400390625
2021-06-18,2986.388671875,15683.349609375
2021-06-21,2971.704833984375,15746.5
2021-06-22,2993.659423828125,15772.75
2021-06-23,2955.738037109375,15686.9501953125
2021-06-24,2940.626708984375,15790.4501953125
2021-06-25,2986.245849609375,15860.349609375
2021-06-28,2974.888427734375,15814.7001953125
2021-06-29,3037.283447265625,15748.4501953125
2021-06-30,3040.70458984375,15721.5
2021-07-01,3059.855712890625,15680.0
2021-07-02,3036.09521484375,15722.2001953125
2021-07-05,3086.75244140625,15834.349609375
2021-07-06,3150.810302734375,15818.25
2021-07-07,3148.71923828125,15879.650390625
2021-07-08,3159.982177734375,15727.900390625
2021-07-09,3184.5498046875,15689.7998046875
2021-07-12,3187.353759765625,15692.599609375
2021-07-13,3186.498291015625,15812.349609375
2021-07-14,3153.56640625,15853.9501953125
2021-07-15,3166.444580078125,15924.2001953125
2021-07-16,3184.977294921875,15923.400390625
2021-07-19,3277.68994140625,15752.400390625
2021-07-20,3227.318603515625,15632.099609375
2021-07-22,3201.134521484375,15824.0498046875
2021-07-23,3226.3681640625,15856.0498046875
2021-07-26,3257.446533203125,15824.4501953125
2021-07-27,3216.24609375,15746.4501953125
2021-07-28,3203.557861328125,15709.400390625
2021-07-29,3166.444580078125,15778.4501953125
2021-07-30,3282.347412109375,15763.0498046875
2021-08-02,3309.71923828125,15885.150390625
2021-08-03,3333.147216796875,16130.75
2021-08-04,3230.027099609375,16258.7998046875
2021-08-05,3231.11962890625,16294.599609375
2021-08-06,3299.8828125,16238.2001953125
2021-08-09,3345.1875,16258.25
2021-08-10,3385.63818359375,16280.099609375
2021-08-11,3506.609619140625,16282.25
2021-08-12,3469.823486328125,16364.400390625
2021-08-13,3480.959716796875,16529.099609375
2021-08-16,3534.449951171875,16563.05078125
2021-08-17,3524.693603515625,16614.599609375
2021-08-18,3618.872802734375,16568.849609375
2021-08-20,3621.014404296875,16450.5
2021-08-23,3613.495361328125,16496.44921875
2021-08-24,3652.4228515625,16624.599609375
2021-08-25,3633.0068359375,16634.650390625
2021-08-26,3676.551025390625,16636.900390625
2021-08-27,3700.20263671875,16705.19921875
2021-08-30,3713.670166015625,16931.05078125
2021-08-31,3691.589111328125,17132.19921875
2021-09-01,3669.983642578125,17076.25
2021-09-02,3720.571044921875,17234.150390625
2021-09-03,3649.99609375,17323.599609375
2021-09-06,3640.6689453125,17377.80078125
2021-09-07,3604.78662109375,17362.099609375
2021-09-08,3570.617431640625,17353.5
2021-09-09,3612.54345703125,17369.25
2021-09-13,3639.478759765625,17355.30078125
2021-09-14,3622.775390625,17380.0
2021-09-15,3666.414794921875,17519.44921875
2021-09-16,3687.1630859375,17629.5
2021-09-17,3640.526123046875,17585.150390625
2021-09-20,3605.07177734375,17396.900390625
2021-09-21,3672.744140625,17562.0
2021-09-22,3706.818115234375,17546.650390625
2021-09-23,3772.1103515625,17822.94921875
